,1_-R_HO1_1,1_-R_O1_2,2_GalNAc(b1-1)_C1_3,2_GalNAc(b1-1)_H1_4,2_GalNAc(b1-1)_C2_5,2_GalNAc(b1-1)_H2_6,2_GalNAc(b1-1)_N2_7,2_GalNAc(b1-1)_H2N_8,2_GalNAc(b1-1)_C2N_9,2_GalNAc(b1-1)_CME_10,2_GalNAc(b1-1)_H3M_11,2_GalNAc(b1-1)_H2M_12,2_GalNAc(b1-1)_H1M_13,2_GalNAc(b1-1)_O2N_14,2_GalNAc(b1-1)_C3_15,2_GalNAc(b1-1)_H3_16,2_GalNAc(b1-1)_C4_17,2_GalNAc(b1-1)_H4_18,2_GalNAc(b1-1)_C5_19,2_GalNAc(b1-1)_H5_20,2_GalNAc(b1-1)_C6_21,2_GalNAc(b1-1)_H62_22,2_GalNAc(b1-1)_H61_23,2_GalNAc(b1-1)_O6_24,2_GalNAc(b1-1)_O5_25,2_GalNAc(b1-1)_O4_26,2_GalNAc(b1-1)_H4O_27,2_GalNAc(b1-1)_O3_28,3_Neu5Ac(a2-6)_C2_29,3_Neu5Ac(a2-6)_C1_30,3_Neu5Ac(a2-6)_O1A_31,3_Neu5Ac(a2-6)_O1B_32,3_Neu5Ac(a2-6)_C3_33,3_Neu5Ac(a2-6)_H3E_34,3_Neu5Ac(a2-6)_H3A_35,3_Neu5Ac(a2-6)_C4_36,3_Neu5Ac(a2-6)_H4_37,3_Neu5Ac(a2-6)_C5_38,3_Neu5Ac(a2-6)_H5_39,3_Neu5Ac(a2-6)_C6_40,3_Neu5Ac(a2-6)_H6_41,3_Neu5Ac(a2-6)_C7_42,3_Neu5Ac(a2-6)_H7_43,3_Neu5Ac(a2-6)_C8_44,3_Neu5Ac(a2-6)_H8_45,3_Neu5Ac(a2-6)_C9_46,3_Neu5Ac(a2-6)_H9S_47,3_Neu5Ac(a2-6)_H9R_48,3_Neu5Ac(a2-6)_O9_49,3_Neu5Ac(a2-6)_H9O_50,3_Neu5Ac(a2-6)_O8_51,3_Neu5Ac(a2-6)_H8O_52,3_Neu5Ac(a2-6)_O7_53,3_Neu5Ac(a2-6)_H7O_54,3_Neu5Ac(a2-6)_O6_55,3_Neu5Ac(a2-6)_N5_56,3_Neu5Ac(a2-6)_H5N_57,3_Neu5Ac(a2-6)_C5N_58,3_Neu5Ac(a2-6)_CME_59,3_Neu5Ac(a2-6)_H3M_60,3_Neu5Ac(a2-6)_H2M_61,3_Neu5Ac(a2-6)_H1M_62,3_Neu5Ac(a2-6)_O5N_63,3_Neu5Ac(a2-6)_O4_64,3_Neu5Ac(a2-6)_H4O_65,4_Gal(b1-3)_C1_66,4_Gal(b1-3)_H1_67,4_Gal(b1-3)_O5_68,4_Gal(b1-3)_C5_69,4_Gal(b1-3)_H5_70,4_Gal(b1-3)_C6_71,4_Gal(b1-3)_H62_72,4_Gal(b1-3)_H61_73,4_Gal(b1-3)_O6_74,4_Gal(b1-3)_H6O_75,4_Gal(b1-3)_C4_76,4_Gal(b1-3)_H4_77,4_Gal(b1-3)_O4_78,4_Gal(b1-3)_H4O_79,4_Gal(b1-3)_C3_80,4_Gal(b1-3)_H3_81,4_Gal(b1-3)_O3_82,4_Gal(b1-3)_H3O_83,4_Gal(b1-3)_C2_84,4_Gal(b1-3)_H2_85,4_Gal(b1-3)_O2_86,4_Gal(b1-3)_H2O_87
1_-R_HO1_1,0.0,1.298999999999996,2.7929999999999993,2.6799999999999997,,5.011999999999997,,,,,7.219999999999995,,,5.924999999999997,,,,,,,,,,,3.463000000000001,,,,,,,,,,,,,,,,,,,,,,,,7.357000000000003,8.331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_-R_O1_2,1.298999999999996,0.0,2.2799999999999976,2.474999999999998,4.001999999999999,3.713000000000001,5.376000000000005,,5.584,6.808,6.241,,7.459,4.626000000000001,,,,,,,,,,,3.9499999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_C1_3,2.7929999999999993,2.2799999999999976,0.0,1.6129999999999995,2.5079999999999956,3.3889999999999993,3.8820000000000014,4.633999999999993,4.089999999999996,5.493999999999996,6.164999999999996,6.907999999999996,6.6569999999999965,5.3160000000000025,3.9649999999999963,4.278999999999996,4.822000000000003,,4.221,4.59,5.6690000000000005,5.884000000000004,5.888000000000002,,2.2340000000000018,4.872000000000003,4.550000000000008,,,,,,,,,,,,,,,,,,,,5.0489999999999995,,7.684000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_C2N_9,6.882999999999996,5.584,4.089999999999996,5.439,3.323999999999998,4.279,2.0580000000000034,2.902000000000001,0.0,2.5139999999999993,3.1849999999999987,2.8179999999999996,3.6769999999999996,1.5840000000000032,,,,,,,,,,,5.213999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.881000000000004,4.928000000000001
2_GalNAc(b1-1)_C2_5,5.300999999999995,4.001999999999999,2.5079999999999956,3.4170000000000016,0.0,1.5849999999999973,2.346,3.6899999999999977,3.323999999999998,5.398,6.370999999999999,5.357999999999999,6.561,4.187999999999995,2.5770000000000053,2.9950000000000045,4.214000000000006,,3.613000000000003,4.5340000000000025,5.0610000000000035,5.98,5.8679999999999986,,3.587999999999994,4.968,4.646000000000004,3.524000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_C3_15,6.757999999999996,5.465,3.9649999999999963,4.077999999999996,2.5770000000000053,3.056000000000001,3.843,4.231000000000002,5.901000000000003,7.093,8.948000000000004,6.929000000000004,7.102000000000004,6.765000000000001,0.0,1.5519999999999996,2.2929999999999993,3.3689999999999998,3.6260000000000012,3.955000000000002,5.096,6.337,,5.088999999999995,5.044999999999995,4.426999999999996,4.105,2.067,,,,,,,,,,,,,,,,,,,,,,,,,,5.166999999999998,,,,,,,,,,,,4.182000000000002,3.7929999999999993,4.475000000000001,,,,,,,,,,,,,,,,,,6.006000000000004,5.053000000000001
2_GalNAc(b1-1)_C4_17,6.615000000000002,,4.822000000000003,4.783000000000001,4.214000000000006,4.693000000000001,,,,,,,,,2.2929999999999993,3.7409999999999997,0.0,1.7319999999999993,2.3750000000000036,3.360000000000003,3.8450000000000024,5.086000000000002,5.001999999999999,3.207999999999995,3.793999999999997,2.133999999999997,3.2360000000000007,3.317999999999998,5.027999999999999,6.8309999999999995,,6.993999999999996,,,,,,,,,,,,,,,,,,,,,4.527000000000001,,,,,,,,,,,,,5.433,5.043999999999997,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_C5_19,6.013999999999999,6.500999999999998,4.221,4.181999999999999,3.613000000000003,4.6839999999999975,5.0290000000000035,,,,,,,,3.6260000000000012,3.9400000000000013,2.3750000000000036,3.5650000000000013,0.0,1.5230000000000032,1.9499999999999957,3.296999999999997,2.7689999999999984,3.8089999999999975,2.5509999999999984,3.884999999999998,5.161000000000001,5.693000000000001,,,,7.594999999999999,,,,,,,,,,4.791,,5.809000000000001,4.998000000000001,,,,,,,,,,4.805999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_C6_21,,,,,5.0610000000000035,,,,,,,,,,,,3.8450000000000024,,1.9499999999999957,3.472999999999999,0.0,1.3470000000000013,1.8009999999999948,2.360999999999997,3.9989999999999988,4.8530000000000015,6.129000000000005,,4.181000000000001,5.5760000000000005,5.941999999999997,6.1469999999999985,,,5.568999999999999,,,,,,,,,,,,,,,,,,,,3.357999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_CME_10,,6.808,5.493999999999996,5.426999999999996,,,3.25,3.831999999999997,2.5139999999999993,0.0,1.855000000000004,1.5939999999999994,1.4349999999999987,4.0980000000000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.763999999999996
2_GalNAc(b1-1)_H1M_13,,,,,,,4.215,2.908999999999999,3.6769999999999996,1.4349999999999987,2.7780000000000022,2.905000000000003,0.0,5.261000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.180000000000003,4.8409999999999975
2_GalNAc(b1-1)_H1_4,2.6799999999999997,2.474999999999998,1.6129999999999995,0.0,3.4170000000000016,5.001999999999999,3.995000000000001,4.746999999999993,5.439,5.426999999999996,5.802000000000003,7.0209999999999955,6.077999999999996,6.929000000000002,4.077999999999996,4.391999999999996,4.783000000000001,,4.181999999999999,4.550999999999998,,,5.849,,3.6950000000000003,6.333000000000002,6.011000000000006,,,,,,,,,,,,,,,,,,,5.272000000000002,4.351999999999997,6.259,6.0710000000000015,7.044999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H2M_12,,,,,,,3.0999999999999996,4.274000000000003,2.8179999999999996,1.5939999999999994,2.481,0.0,2.905000000000003,4.058000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.236000000000002,,,5.939000000000005,5.6
2_GalNAc(b1-1)_H2N_8,,6.127999999999997,4.633999999999993,4.746999999999993,3.6899999999999977,5.084999999999997,1.3439999999999976,0.0,2.902000000000001,3.831999999999997,5.687000000000001,4.274000000000003,2.908999999999999,4.392000000000003,4.231000000000002,3.679000000000002,,,,4.849999999999998,,,,,,,,4.317999999999998,,,,,,,,,,,,,,,,,,,5.972999999999999,,,,,,,,,,,,,,,,,,,5.036999999999999,5.060000000000002,,,,,,,,,,,,,,,,,5.6100000000000065,5.950000000000006,5.337000000000007,4.384000000000004
2_GalNAc(b1-1)_H2_6,5.011999999999997,3.713000000000001,3.3889999999999993,5.001999999999999,1.5849999999999973,0.0,3.7409999999999997,5.084999999999997,4.279,6.792999999999999,7.463999999999999,6.752999999999998,,3.7089999999999996,3.056000000000001,3.7159999999999975,4.693000000000001,,4.6839999999999975,,5.652000000000001,4.772999999999996,,,3.9049999999999976,4.478999999999999,4.259,3.812999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H3M_11,,6.241,,5.802000000000003,,,5.105000000000004,,3.1849999999999987,1.855000000000004,0.0,2.481,2.7780000000000022,4.769000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H3_16,7.071999999999996,5.882999999999999,4.278999999999996,4.391999999999996,2.9950000000000045,3.7159999999999975,4.260999999999999,3.679000000000002,6.319000000000003,7.510999999999999,9.366000000000003,7.347000000000003,6.588000000000001,7.183,1.5519999999999996,0.0,3.7409999999999997,3.6869999999999976,3.9400000000000013,3.4830000000000005,5.539999999999996,,,,5.358999999999995,5.8749999999999964,5.553000000000001,3.503,,,,,,,,,,,,,,,,,,6.558000000000003,4.722000000000001,7.545000000000002,7.357000000000003,8.331,,,4.192,4.554999999999996,,,,,,,,,,,,3.868000000000002,3.478999999999999,4.161000000000001,,,,,,,,,,,,,,,,5.965000000000003,6.305000000000003,5.692000000000004,4.739000000000001
2_GalNAc(b1-1)_H4O_27,6.496999999999996,6.667999999999999,4.550000000000008,,4.646000000000004,4.259,,,,,,,,,4.105,,3.2360000000000007,3.8320000000000043,,,,6.0760000000000005,,,4.783999999999995,1.3780000000000001,0.0,4.018000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.167000000000005,,4.736000000000001,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H4_18,,,,,,,,,,,,,,,3.3689999999999998,3.6869999999999976,1.7319999999999993,0.0,3.5650000000000013,3.1080000000000005,5.035,6.276,,3.443999999999999,4.983999999999995,2.556000000000001,3.8320000000000043,3.166000000000004,4.097999999999999,6.234999999999996,,5.943999999999999,4.862000000000002,5.629999999999999,3.985999999999997,,,,,,,,,,,,,,,,,,4.472999999999999,,,,,,,,,,,,,4.243000000000002,4.594000000000001,4.536000000000001,,,,5.077999999999996,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H5_20,6.382999999999999,6.869999999999997,4.59,4.550999999999998,4.5340000000000025,,5.2479999999999976,4.849999999999998,,,,,,,3.955000000000002,3.4830000000000005,3.360000000000003,3.1080000000000005,1.5230000000000032,0.0,3.472999999999999,4.82,3.083999999999996,4.469999999999999,2.919999999999998,5.32,,,5.260000000000002,6.655000000000001,6.867000000000001,7.225999999999999,,,,,,,,,,4.2500000000000036,5.270999999999997,4.373999999999999,3.562999999999999,6.231000000000002,6.032999999999998,7.464000000000002,6.862000000000002,8.46,6.866,,,,4.436999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H61_23,,,,5.849,,,,,,,,,,,,,5.001999999999999,,2.7689999999999984,3.083999999999996,1.8009999999999948,2.6799999999999997,0.0,2.7479999999999976,4.218,,,,3.9619999999999997,5.356999999999999,5.568999999999999,5.927999999999997,,6.295999999999999,,,,,,,,,,,5.583000000000002,,,,,,,,,,4.384999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_H62_22,6.6889999999999965,,,,,4.772999999999996,,,,,,,,,,,,,3.296999999999997,4.82,1.3470000000000013,0.0,2.6799999999999997,3.1340000000000003,3.650000000000002,4.698,6.0760000000000005,,4.954000000000004,6.349000000000004,6.8210000000000015,6.920000000000002,,,,,,,,,,,,,,,,,,,,,,,4.469000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_N2_7,6.675000000000001,5.376000000000005,3.8820000000000014,3.995000000000001,2.346,3.7409999999999997,0.0,1.3439999999999976,2.0580000000000034,3.25,5.105000000000004,3.0999999999999996,4.215,3.218,3.843,4.260999999999999,,,5.0290000000000035,,,,,,4.962,,,4.045999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.135999999999996
2_GalNAc(b1-1)_O2N_14,5.924999999999997,4.626000000000001,5.3160000000000025,,4.187999999999995,3.7089999999999996,3.218,4.392000000000003,1.5840000000000032,4.0980000000000025,4.769000000000002,4.058000000000002,5.261000000000003,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_O3_28,,,,,3.524000000000001,3.812999999999999,4.045999999999996,4.317999999999998,6.103999999999999,7.295999999999996,9.151,7.132,7.189,6.967999999999996,2.067,3.503,3.317999999999998,3.166000000000004,,,,,,,,4.34,4.018000000000004,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.115000000000002,2.442,3.8200000000000003,,,,,,,,,,,,6.25,5.859000000000002,,,4.212000000000003,4.552000000000003,4.318999999999999,5.123999999999999
2_GalNAc(b1-1)_O4_26,6.401,6.887999999999998,4.872000000000003,,4.968,4.478999999999999,,,,,,,,,4.426999999999996,,2.133999999999997,2.556000000000001,3.884999999999998,,4.8530000000000015,4.698,,4.625999999999998,3.4059999999999953,0.0,1.3780000000000001,4.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_O5_25,3.463000000000001,3.9499999999999993,2.2340000000000018,3.6950000000000003,3.587999999999994,3.9049999999999976,4.962,,5.213999999999999,7.727999999999998,8.398999999999997,7.987999999999994,,5.832000000000001,5.044999999999995,,3.793999999999997,4.983999999999995,2.5509999999999984,2.919999999999998,3.9989999999999988,3.650000000000002,4.218,,0.0,3.4059999999999953,4.783999999999995,,,,,,,,,,,,,,,,,,5.777000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2_GalNAc(b1-1)_O6_24,,,,,,,,,,,,,,,,,3.207999999999995,3.443999999999999,3.8089999999999975,4.469999999999999,2.360999999999997,3.1340000000000003,2.7479999999999976,0.0,,4.625999999999998,5.902000000000001,5.571999999999999,2.0280000000000022,4.164999999999999,6.1690000000000005,3.8740000000000023,3.3860000000000063,4.1540000000000035,3.977999999999998,5.221000000000004,,,,,,,,,,,,,,,,,,,3.463000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C1_30,,,,,,,,,,,,,,,,,,,,,5.5760000000000005,6.349000000000004,5.356999999999999,4.164999999999999,,,,,2.136999999999997,0.0,2.0040000000000013,2.086999999999996,3.956999999999997,4.079000000000001,5.1349999999999945,,4.712999999999997,,,,5.073,,,,,,,,,,,,,,3.6700000000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C2_29,,,,,,,,,,,,,,,,,5.027999999999999,4.097999999999999,,,4.181000000000001,4.954000000000004,3.9619999999999997,2.0280000000000022,,,,,0.0,2.136999999999997,4.140999999999998,3.227999999999998,2.073999999999998,2.674000000000003,3.2519999999999953,3.6389999999999993,4.601999999999997,4.506999999999998,,3.913999999999998,3.9319999999999986,,,,,,,,,,,,,,2.529,,5.339000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C3_33,,,,,,,,,,,,,,,,,,4.862000000000002,,,,6.520000000000007,5.547999999999998,3.3860000000000063,,,,,2.073999999999998,3.956999999999997,5.448999999999998,5.181999999999999,0.0,1.8739999999999988,1.4960000000000022,1.8349999999999973,3.0359999999999943,3.801000000000002,4.393000000000001,4.714000000000002,,,,,,,,,,,,,,,3.329000000000004,4.8210000000000015,5.273,,6.9289999999999985,,7.615000000000004,6.479999999999993,,3.4619999999999997,4.544999999999998,,,,,,,5.451999999999998,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C4_36,,,,,,,,,,,,,,,,,,,,,,,,5.221000000000004,,,,,3.6389999999999993,5.5219999999999985,5.896000000000004,6.747,1.8349999999999973,3.0549999999999997,2.946999999999999,0.0,1.5509999999999984,2.620000000000001,3.2119999999999997,3.5330000000000013,3.7050000000000054,,,,,,,,,,,,,,4.224000000000004,3.6400000000000006,3.8220000000000027,4.611999999999998,5.363999999999997,6.602999999999998,6.166000000000002,4.644999999999996,5.727,1.8969999999999985,2.710000000000001,,,,,,5.665999999999997,4.901,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C5N_58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.234999999999999,4.611999999999998,5.311,3.6340000000000003,3.426000000000002,,,,4.940000000000005,,,,,,,,,,,,,2.315999999999999,3.1020000000000003,0.0,2.5039999999999942,3.5529999999999973,2.7479999999999993,3.0949999999999953,1.6469999999999985,,5.273999999999997,,,,,,,,,5.988999999999997,4.433,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C5_38,,,,,,,,,,,,,,,,,,,,,,,,5.2330000000000005,,,,,4.506999999999998,6.389999999999997,6.764000000000003,,3.801000000000002,5.675000000000001,3.756999999999998,2.620000000000001,3.0790000000000006,0.0,1.4739999999999966,2.0310000000000024,2.9130000000000003,3.468999999999994,4.530000000000001,5.454999999999998,,,,,,,4.690999999999999,5.933,4.513999999999996,4.574999999999999,3.596,1.8340000000000067,3.012000000000004,3.6340000000000003,4.995999999999999,6.045000000000002,5.2340000000000035,5.587,4.859000000000002,3.4890000000000008,3.6520000000000046,,,,,,,,,6.149000000000001,5.585000000000001,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C6_40,,,,,,,,,,,,,,,,,,,,,4.792999999999999,6.033999999999999,5.949999999999996,4.847999999999999,,,,,3.913999999999998,5.055,4.7330000000000005,7.141999999999996,4.714000000000002,,4.852,3.5330000000000013,3.992000000000001,2.0310000000000024,3.1630000000000003,0.0,1.8000000000000043,2.4599999999999973,3.617000000000001,3.605999999999998,4.414999999999996,5.8530000000000015,,7.086000000000002,7.147999999999996,8.082,3.7779999999999987,5.02,2.6649999999999956,3.661999999999999,1.5649999999999977,3.683000000000007,4.729000000000006,5.665000000000003,6.844999999999999,7.894000000000002,7.213000000000006,7.436,,4.402000000000001,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C7_42,,,,,,,,,,,,,,,,,,,4.791,4.2500000000000036,,,,,,,,,,,6.097000000000001,,,,,,,3.468999999999994,2.780999999999999,2.4599999999999973,2.5199999999999996,0.0,1.198999999999998,1.9960000000000022,3.3049999999999997,3.741000000000003,4.521000000000001,4.626000000000005,5.528000000000002,5.832000000000004,3.5100000000000016,4.353999999999999,2.253,2.663999999999998,3.8449999999999953,,,5.9609999999999985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3_Neu5Ac(a2-6)_C8_44,,,,,,,,,,,,,,,,,,,,4.373999999999999,,,,,,,,,,,,,,,,,,,,3.605999999999998,4.506000000000004,1.9960000000000022,3.1950000000000003,0.0,1.311,2.3850000000000016,2.5349999999999966,3.618000000000002,3.541999999999998,4.614000000000001,2.492000000000001,3.3359999999999985,3.271000000000001,4.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
