,11_SO3_S1_215,11_SO3_O1_216,11_SO3_O2_217,11_SO3_O3_218
1_ROH_HO1_1,11.0,11.0,11.0,11.0
1_ROH_O1_2,11.0,11.0,11.0,11.0
2_NDG_C1_3,11.0,11.0,11.0,11.0
2_NDG_H1_4,11.0,11.0,11.0,11.0
2_NDG_C2_5,11.0,11.0,11.0,11.0
2_NDG_H2_6,11.0,11.0,11.0,11.0
2_NDG_N2_7,11.0,11.0,11.0,11.0
2_NDG_H2N_8,11.0,11.0,11.0,11.0
2_NDG_C2N_9,11.0,11.0,11.0,11.0
2_NDG_CME_10,11.0,11.0,11.0,11.0
2_NDG_H3M_11,11.0,11.0,11.0,11.0
2_NDG_H2M_12,11.0,11.0,11.0,11.0
2_NDG_H1M_13,11.0,11.0,11.0,11.0
2_NDG_O2N_14,11.0,11.0,11.0,11.0
2_NDG_C3_15,11.0,11.0,11.0,11.0
2_NDG_H3_16,11.0,11.0,11.0,11.0
2_NDG_O3_17,11.0,11.0,11.0,11.0
2_NDG_H3O_18,11.0,11.0,11.0,11.0
2_NDG_C4_19,11.0,11.0,11.0,11.0
2_NDG_H4_20,11.0,11.0,11.0,11.0
2_NDG_C5_21,11.0,11.0,11.0,11.0
2_NDG_H5_22,11.0,11.0,11.0,11.0
2_NDG_C6_23,11.0,11.0,11.0,11.0
2_NDG_H62_24,11.0,11.0,11.0,11.0
2_NDG_H61_25,11.0,11.0,11.0,11.0
2_NDG_O6_26,11.0,11.0,11.0,11.0
2_NDG_O5_27,11.0,11.0,11.0,11.0
2_NDG_O4_28,11.0,11.0,11.0,11.0
3_NAG_C1_29,11.0,11.0,11.0,11.0
3_NAG_H1_30,11.0,11.0,11.0,11.0
3_NAG_O5_31,11.0,11.0,11.0,11.0
3_NAG_C5_32,11.0,11.0,11.0,11.0
3_NAG_H5_33,11.0,11.0,11.0,11.0
3_NAG_C6_34,11.0,11.0,11.0,11.0
3_NAG_H62_35,11.0,11.0,11.0,11.0
3_NAG_H61_36,11.0,11.0,11.0,11.0
3_NAG_O6_37,11.0,11.0,11.0,11.0
3_NAG_H6O_38,11.0,11.0,11.0,11.0
3_NAG_C4_39,11.0,11.0,11.0,11.0
3_NAG_H4_40,11.0,11.0,11.0,11.0
3_NAG_C3_41,11.0,11.0,11.0,11.0
3_NAG_H3_42,11.0,11.0,11.0,11.0
3_NAG_O3_43,11.0,11.0,11.0,11.0
3_NAG_H3O_44,11.0,11.0,11.0,11.0
3_NAG_C2_45,11.0,11.0,11.0,11.0
3_NAG_H2_46,11.0,11.0,11.0,11.0
3_NAG_N2_47,11.0,11.0,11.0,11.0
3_NAG_H2N_48,11.0,11.0,11.0,11.0
3_NAG_C2N_49,11.0,11.0,11.0,11.0
3_NAG_O2N_50,11.0,11.0,11.0,11.0
3_NAG_CME_51,11.0,11.0,11.0,9.418000000000003
3_NAG_H3M_52,11.0,11.0,11.0,11.0
3_NAG_H2M_53,11.0,11.0,11.0,9.822000000000003
3_NAG_H1M_54,9.973999999999997,11.0,11.0,7.875
3_NAG_O4_55,11.0,11.0,11.0,11.0
4_MAN_C1_56,11.0,11.0,11.0,11.0
4_MAN_H1_57,11.0,11.0,11.0,11.0
4_MAN_O5_58,11.0,11.0,11.0,11.0
4_MAN_C5_59,11.0,11.0,11.0,11.0
4_MAN_H5_60,11.0,11.0,11.0,11.0
4_MAN_C6_61,11.0,11.0,11.0,11.0
4_MAN_H62_62,11.0,11.0,11.0,11.0
4_MAN_H61_63,11.0,11.0,11.0,11.0
4_MAN_O6_64,11.0,11.0,11.0,11.0
4_MAN_C4_65,11.0,11.0,11.0,11.0
4_MAN_H4_66,11.0,11.0,11.0,11.0
4_MAN_O4_67,11.0,11.0,11.0,11.0
4_MAN_H4O_68,11.0,11.0,11.0,11.0
4_MAN_C3_69,11.0,11.0,11.0,11.0
4_MAN_H3_70,11.0,11.0,11.0,11.0
4_MAN_C2_71,11.0,11.0,11.0,11.0
4_MAN_H2_72,11.0,11.0,11.0,11.0
4_MAN_O2_73,11.0,11.0,11.0,11.0
4_MAN_H2O_74,11.0,11.0,11.0,11.0
4_MAN_O3_75,11.0,11.0,11.0,11.0
5_MAN_C1_76,11.0,11.0,11.0,11.0
5_MAN_H1_77,11.0,11.0,11.0,11.0
5_MAN_C2_78,11.0,11.0,11.0,11.0
5_MAN_H2_79,11.0,11.0,11.0,11.0
5_MAN_C3_80,11.0,11.0,11.0,11.0
5_MAN_H3_81,11.0,11.0,11.0,11.0
5_MAN_C4_82,11.0,11.0,11.0,11.0
5_MAN_H4_83,11.0,11.0,11.0,11.0
5_MAN_C5_84,11.0,11.0,11.0,11.0
5_MAN_H5_85,11.0,11.0,11.0,11.0
5_MAN_C6_86,11.0,11.0,11.0,11.0
5_MAN_H62_87,11.0,11.0,11.0,11.0
5_MAN_H61_88,11.0,11.0,11.0,11.0
5_MAN_O6_89,11.0,11.0,11.0,11.0
5_MAN_H6O_90,11.0,11.0,11.0,11.0
5_MAN_O5_91,11.0,11.0,11.0,11.0
5_MAN_O4_92,11.0,11.0,11.0,11.0
5_MAN_H4O_93,11.0,11.0,11.0,11.0
5_MAN_O3_94,11.0,11.0,11.0,11.0
5_MAN_H3O_95,11.0,11.0,11.0,11.0
5_MAN_O2_96,11.0,11.0,11.0,11.0
6_NAG_C1_97,11.0,11.0,11.0,11.0
6_NAG_H1_98,11.0,11.0,11.0,11.0
6_NAG_O5_99,11.0,11.0,11.0,11.0
6_NAG_C5_100,11.0,11.0,11.0,11.0
6_NAG_H5_101,11.0,11.0,11.0,11.0
6_NAG_C6_102,11.0,11.0,11.0,11.0
6_NAG_H62_103,11.0,11.0,11.0,11.0
6_NAG_H61_104,11.0,11.0,11.0,11.0
6_NAG_O6_105,11.0,11.0,11.0,11.0
6_NAG_H6O_106,11.0,11.0,11.0,11.0
6_NAG_C4_107,11.0,11.0,11.0,11.0
6_NAG_H4_108,11.0,11.0,11.0,11.0
6_NAG_C3_109,11.0,11.0,11.0,11.0
6_NAG_H3_110,11.0,11.0,11.0,11.0
6_NAG_O3_111,11.0,11.0,11.0,11.0
6_NAG_H3O_112,11.0,11.0,11.0,11.0
6_NAG_C2_113,11.0,11.0,11.0,11.0
6_NAG_H2_114,11.0,11.0,11.0,11.0
6_NAG_N2_115,11.0,11.0,11.0,11.0
6_NAG_H2N_116,11.0,11.0,11.0,11.0
6_NAG_C2N_117,11.0,11.0,11.0,11.0
6_NAG_O2N_118,11.0,11.0,11.0,11.0
6_NAG_CME_119,11.0,11.0,11.0,11.0
6_NAG_H3M_120,11.0,11.0,11.0,11.0
6_NAG_H2M_121,11.0,11.0,11.0,11.0
6_NAG_H1M_122,11.0,11.0,11.0,11.0
6_NAG_O4_123,11.0,11.0,11.0,11.0
7_GAL_C1_124,11.0,11.0,11.0,11.0
7_GAL_H1_125,11.0,11.0,11.0,11.0
7_GAL_O5_126,11.0,11.0,11.0,11.0
7_GAL_C5_127,11.0,11.0,11.0,11.0
7_GAL_H5_128,11.0,11.0,11.0,11.0
7_GAL_C6_129,11.0,11.0,11.0,11.0
7_GAL_H62_130,11.0,11.0,11.0,11.0
7_GAL_H61_131,11.0,11.0,11.0,11.0
7_GAL_O6_132,11.0,11.0,11.0,11.0
7_GAL_H6O_133,11.0,11.0,11.0,11.0
7_GAL_C4_134,11.0,11.0,11.0,11.0
7_GAL_H4_135,11.0,11.0,11.0,11.0
7_GAL_O4_136,11.0,11.0,11.0,11.0
7_GAL_H4O_137,11.0,11.0,11.0,11.0
7_GAL_C3_138,11.0,11.0,11.0,11.0
7_GAL_H3_139,11.0,11.0,11.0,11.0
7_GAL_O3_140,11.0,11.0,11.0,11.0
7_GAL_H3O_141,11.0,11.0,11.0,11.0
7_GAL_C2_142,11.0,11.0,11.0,11.0
7_GAL_H2_143,11.0,11.0,11.0,11.0
7_GAL_O2_144,11.0,11.0,11.0,11.0
7_GAL_H2O_145,11.0,11.0,11.0,11.0
8_MAN_C1_146,11.0,11.0,11.0,11.0
8_MAN_H1_147,11.0,11.0,11.0,11.0
8_MAN_C2_148,11.0,11.0,11.0,11.0
8_MAN_H2_149,11.0,11.0,11.0,11.0
8_MAN_C3_150,11.0,11.0,11.0,11.0
8_MAN_H3_151,11.0,11.0,11.0,11.0
8_MAN_C4_152,11.0,11.0,11.0,11.0
8_MAN_H4_153,11.0,11.0,11.0,11.0
8_MAN_C5_154,11.0,11.0,11.0,11.0
8_MAN_H5_155,11.0,11.0,11.0,11.0
8_MAN_C6_156,11.0,11.0,11.0,11.0
8_MAN_H62_157,11.0,11.0,11.0,11.0
8_MAN_H61_158,11.0,11.0,11.0,11.0
8_MAN_O6_159,11.0,11.0,11.0,11.0
8_MAN_H6O_160,11.0,11.0,11.0,11.0
8_MAN_O5_161,11.0,11.0,11.0,11.0
8_MAN_O4_162,11.0,11.0,11.0,11.0
8_MAN_H4O_163,11.0,11.0,11.0,11.0
8_MAN_O3_164,11.0,11.0,11.0,11.0
8_MAN_H3O_165,9.844999999999999,11.0,9.553999999999998,11.0
8_MAN_O2_166,11.0,11.0,11.0,11.0
9_NAG_C1_167,8.585,8.914000000000001,11.0,11.0
9_NAG_H1_168,11.0,11.0,11.0,11.0
9_NAG_O5_169,6.746999999999996,6.953999999999997,8.701999999999998,8.331999999999997
9_NAG_C5_170,6.179000000000002,6.386000000000003,8.134000000000004,5.994
9_NAG_H5_171,7.726999999999997,7.9339999999999975,9.681999999999999,7.177999999999997
9_NAG_C6_172,4.518000000000001,4.725000000000001,6.4730000000000025,4.280999999999999
9_NAG_H62_173,4.558,4.765000000000001,6.513000000000002,4.009
9_NAG_H61_174,4.817999999999998,5.024999999999999,6.773,5.022999999999996
9_NAG_O6_175,2.323999999999998,2.6529999999999987,4.107000000000003,4.0689999999999955
9_NAG_C4_176,5.154,5.593,7.109000000000002,6.151
9_NAG_H4_177,4.641000000000002,5.718,5.434000000000005,6.385999999999999
9_NAG_C3_178,6.609999999999999,6.817,8.565000000000001,8.208999999999996
9_NAG_H3_179,8.240000000000002,8.447000000000003,11.0,7.994999999999997
9_NAG_O3_180,6.9559999999999995,8.973000000000003,7.100999999999999,8.160999999999998
9_NAG_H3O_181,6.861999999999998,8.879000000000001,6.555,7.056999999999999
9_NAG_C2_182,8.740000000000002,9.069000000000003,9.181000000000001,11.0
9_NAG_H2_183,8.886,9.215,8.594999999999999,11.0
9_NAG_N2_184,11.0,11.0,11.0,11.0
9_NAG_H2N_185,11.0,11.0,11.0,11.0
9_NAG_C2N_186,11.0,11.0,11.0,11.0
9_NAG_O2N_187,11.0,11.0,11.0,11.0
9_NAG_CME_188,11.0,11.0,11.0,11.0
9_NAG_H3M_189,11.0,11.0,11.0,11.0
9_NAG_H2M_190,11.0,11.0,11.0,11.0
9_NAG_H1M_191,11.0,11.0,11.0,11.0
9_NAG_O4_192,5.695999999999994,7.5909999999999975,6.777000000000001,4.273
10_GAL_C1_193,5.717999999999996,7.6129999999999995,5.974999999999998,4.236999999999995
10_GAL_H1_194,3.9819999999999993,5.8770000000000024,4.239000000000001,3.4369999999999976
10_GAL_O5_195,6.610999999999997,8.628,6.743999999999996,6.805999999999997
10_GAL_C5_196,7.6739999999999995,9.691000000000003,6.876999999999999,7.869
10_GAL_H5_197,6.826999999999995,8.843999999999998,5.275999999999996,7.021999999999995
10_GAL_C6_198,11.0,11.0,8.305999999999997,11.0
10_GAL_H62_199,11.0,11.0,9.103999999999996,11.0
10_GAL_H61_200,11.0,11.0,9.206999999999994,11.0
10_GAL_O6_201,11.0,11.0,8.645999999999997,11.0
10_GAL_H6O_202,11.0,11.0,11.0,11.0
10_GAL_C4_203,8.313999999999997,11.0,8.570999999999998,7.160999999999998
10_GAL_H4_204,8.364999999999995,11.0,8.621999999999996,7.899999999999999
10_GAL_O4_205,11.0,11.0,11.0,8.578000000000003
10_GAL_H4O_206,11.0,11.0,11.0,9.655000000000001
10_GAL_C3_207,7.774999999999999,9.670000000000002,8.032,5.676000000000002
10_GAL_H3_208,6.309999999999999,8.205000000000002,6.567,4.211000000000002
10_GAL_O3_209,9.686999999999998,11.0,9.943999999999999,7.588000000000001
10_GAL_H3O_210,9.187999999999995,11.0,9.444999999999997,7.088999999999999
10_GAL_C2_211,7.327999999999996,9.222999999999999,7.584999999999997,5.228999999999999
10_GAL_H2_212,8.958999999999996,11.0,9.215999999999998,6.859999999999999
10_GAL_O2_213,6.3749999999999964,8.27,6.631999999999998,4.276
10_GAL_H2O_214,4.824999999999996,6.719999999999999,5.081999999999997,2.725999999999999
11_SO3_S1_215,0.0,0.0,0.0,0.0
11_SO3_O1_216,0.0,0.0,0.0,0.0
11_SO3_O2_217,0.0,0.0,0.0,0.0
11_SO3_O3_218,0.0,0.0,0.0,0.0
12_FUC_C1_219,11.0,11.0,11.0,11.0
12_FUC_H1_220,11.0,11.0,11.0,11.0
12_FUC_O5_221,11.0,11.0,11.0,11.0
12_FUC_C5_222,11.0,11.0,11.0,11.0
12_FUC_H5_223,11.0,11.0,11.0,11.0
12_FUC_C6_224,11.0,11.0,11.0,11.0
12_FUC_H61_225,11.0,11.0,11.0,11.0
12_FUC_H62_226,11.0,11.0,11.0,11.0
12_FUC_H63_227,11.0,11.0,11.0,11.0
12_FUC_C4_228,11.0,11.0,11.0,11.0
12_FUC_H4_229,11.0,11.0,11.0,11.0
12_FUC_O4_230,11.0,11.0,11.0,11.0
